dataset,phase,level,axis,psnr_mean,psnr_std,ssim_mean,ssim_std,n_cells,max_psnr_deviation,max_ssim_deviation
cifar10,B,1,,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,12,0.0,0.0
cifar10,B,2,,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,12,0.0,0.0
cifar10,B,3,,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,12,0.0,0.0
cifar10,B,4,,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,12,0.0,0.0
cifar10,B,5,,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,12,0.0,0.0
mnist,B,1,,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,12,0.0,0.0
mnist,B,2,,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,12,0.0,0.0
mnist,B,3,,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,12,0.0,0.0
mnist,B,4,,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,12,0.0,0.0
mnist,B,5,,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,12,0.0,0.0
cifar10,B2,1,,19.49942398071289,2.307029962539673,0.8159459829330444,0.053640592843294144,3,0.0,0.0
cifar10,B2,2,,17.245643615722656,1.8816615343093872,0.7328234910964966,0.06700173765420914,3,0.0,0.0
cifar10,B2,3,,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,3,0.0,0.0
cifar10,B2,4,,14.175460815429688,1.855690598487854,0.6517089605331421,0.08579031378030777,3,0.0,0.0
cifar10,B2,5,,12.39627456665039,2.4960403442382812,0.6237173676490784,0.10801724344491959,3,0.0,0.0
mnist,B2,1,,19.81437110900879,1.5642881393432617,0.8638811707496643,0.027346473187208176,3,0.0,0.0
mnist,B2,2,,16.086591720581055,1.4540677070617676,0.7367054224014282,0.05195021629333496,3,0.0,0.0
mnist,B2,3,,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,3,0.0,0.0
mnist,B2,4,,11.414421081542969,1.375131368637085,0.4903733730316162,0.08534227311611176,3,0.0,0.0
mnist,B2,5,,9.603363990783691,2.4242351055145264,0.41941672563552856,0.12054192274808884,3,0.0,0.0
cifar10,B2nr,3,,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,3,0.0,0.0
