tag,phase,model,dataset,level,axis,treatment,seed,val_acc,val_acc_mean,val_acc_std,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,epochs_run,runtime_s,status
final_B2_L1_densenet121_cifar10,B2,densenet121,cifar10,1,,T3,42,0.739799976348877,,,1,19.49942398071289,2.307029962539673,0.8159459829330444,0.053640592843294144,40,2452.4529999999795,Complete
final_B2_L1_densenet121_mnist,B2,densenet121,mnist,1,,T3,42,0.9886000156402588,,,1,19.81437110900879,1.5642881393432617,0.8638811707496643,0.027346473187208176,22,1358.5,Complete
final_B2_L1_resnet50_cifar10,B2,resnet50,cifar10,1,,T3,42,0.7495999932289124,,,1,19.49942398071289,2.307029962539673,0.8159459829330444,0.053640592843294144,29,1339.5159999998286,Complete
final_B2_L1_resnet50_mnist,B2,resnet50,mnist,1,,T3,42,0.9890000224113464,,,1,19.81437110900879,1.5642881393432617,0.8638811707496643,0.027346473187208176,22,995.7029999999795,Complete
final_B2_L1_transnext_tiny_cifar10,B2,transnext_tiny,cifar10,1,,T3,42,0.8651999831199646,,,1,19.49942398071289,2.307029962539673,0.8159459829330444,0.053640592843294144,38,6624.530999999959,Complete
final_B2_L1_transnext_tiny_mnist,B2,transnext_tiny,mnist,1,,T3,42,0.9918000102043152,,,1,19.81437110900879,1.5642881393432617,0.8638811707496643,0.027346473187208176,28,4895.734000000171,Complete
final_B2_L2_densenet121_cifar10,B2,densenet121,cifar10,2,,T3,42,0.5667999982833862,,,1,17.245643615722656,1.8816615343093872,0.7328234910964966,0.06700173765420914,23,1433.625,Complete
final_B2_L2_densenet121_mnist,B2,densenet121,mnist,2,,T3,42,0.9761999845504761,,,1,16.086591720581055,1.4540677070617676,0.7367054224014282,0.05195021629333496,60,3754.0779999999795,Complete
final_B2_L2_resnet50_cifar10,B2,resnet50,cifar10,2,,T3,42,0.5532000064849854,,,1,17.245643615722656,1.8816615343093872,0.7328234910964966,0.06700173765420914,23,1056.438000000082,Complete
final_B2_L2_resnet50_mnist,B2,resnet50,mnist,2,,T3,42,0.9714000225067139,,,1,16.086591720581055,1.4540677070617676,0.7367054224014282,0.05195021629333496,41,1888.7339999999385,Complete
final_B2_L2_transnext_tiny_cifar10,B2,transnext_tiny,cifar10,2,,T3,42,0.6819999814033508,,,1,17.245643615722656,1.8816615343093872,0.7328234910964966,0.06700173765420914,22,3860.7030000002123,Complete
final_B2_L2_transnext_tiny_mnist,B2,transnext_tiny,mnist,2,,T3,42,0.9761999845504761,,,1,16.086591720581055,1.4540677070617676,0.7367054224014282,0.05195021629333496,47,8200.42200000002,Complete
final_B2_L3_densenet121_cifar10,B2,densenet121,cifar10,3,,T3,42,0.43720000982284546,0.4240666727224986,0.009295641129312244,3,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,21,1332.1410000000615,Complete
final_B2_L3_densenet121_mnist,B2,densenet121,mnist,3,,T3,42,0.8619999885559082,0.8622666597366333,0.001806168664905516,3,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,25,1595.375,Complete
