tag,model,dataset,phase,level,axis,regularization,seed,val_acc,psnr_mean,psnr_std,ssim_mean,ssim_std,val_acc_mean,val_acc_std,n_seeds
final_B2_L1_densenet121_cifar10,densenet121,cifar10,B2,1,,T3,42,0.739799976348877,19.49942398071289,2.307029962539673,0.8159459829330444,0.053640592843294144,,,1
final_B2_L1_densenet121_mnist,densenet121,mnist,B2,1,,T3,42,0.9886000156402588,19.81437110900879,1.5642881393432617,0.8638811707496643,0.027346473187208176,,,1
final_B2_L1_resnet50_cifar10,resnet50,cifar10,B2,1,,T3,42,0.7495999932289124,19.49942398071289,2.307029962539673,0.8159459829330444,0.053640592843294144,,,1
final_B2_L1_resnet50_mnist,resnet50,mnist,B2,1,,T3,42,0.9890000224113464,19.81437110900879,1.5642881393432617,0.8638811707496643,0.027346473187208176,,,1
final_B2_L1_transnext_tiny_cifar10,transnext_tiny,cifar10,B2,1,,T3,42,0.8651999831199646,19.49942398071289,2.307029962539673,0.8159459829330444,0.053640592843294144,,,1
final_B2_L1_transnext_tiny_mnist,transnext_tiny,mnist,B2,1,,T3,42,0.9918000102043152,19.81437110900879,1.5642881393432617,0.8638811707496643,0.027346473187208176,,,1
final_B2_L2_densenet121_cifar10,densenet121,cifar10,B2,2,,T3,42,0.5667999982833862,17.245643615722656,1.8816615343093872,0.7328234910964966,0.06700173765420914,,,1
final_B2_L2_densenet121_mnist,densenet121,mnist,B2,2,,T3,42,0.9761999845504761,16.086591720581055,1.4540677070617676,0.7367054224014282,0.05195021629333496,,,1
final_B2_L2_resnet50_cifar10,resnet50,cifar10,B2,2,,T3,42,0.5532000064849854,17.245643615722656,1.8816615343093872,0.7328234910964966,0.06700173765420914,,,1
final_B2_L2_resnet50_mnist,resnet50,mnist,B2,2,,T3,42,0.9714000225067139,16.086591720581055,1.4540677070617676,0.7367054224014282,0.05195021629333496,,,1
final_B2_L2_transnext_tiny_cifar10,transnext_tiny,cifar10,B2,2,,T3,42,0.6819999814033508,17.245643615722656,1.8816615343093872,0.7328234910964966,0.06700173765420914,,,1
final_B2_L2_transnext_tiny_mnist,transnext_tiny,mnist,B2,2,,T3,42,0.9761999845504761,16.086591720581055,1.4540677070617676,0.7367054224014282,0.05195021629333496,,,1
final_B2_L3_densenet121_cifar10,densenet121,cifar10,B2,3,,T3,42,0.43720000982284546,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,0.4240666727224986,0.009295641129312244,3
final_B2_L3_densenet121_mnist,densenet121,mnist,B2,3,,T3,42,0.8619999885559082,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,0.8622666597366333,0.001806168664905516,3
