model,dataset,axis,level,val_acc
resnet50,cifar10,resolution,1,0.801800012588501
resnet50,cifar10,resolution,2,0.6636000275611877
resnet50,cifar10,resolution,3,0.5131999850273132
resnet50,cifar10,resolution,4,0.4296000003814697
resnet50,cifar10,resolution,5,0.30160000920295715
resnet50,cifar10,blur,1,0.9061999917030334
resnet50,cifar10,blur,2,0.895799994468689
resnet50,cifar10,blur,3,0.8335999846458435
resnet50,cifar10,blur,4,0.7167999744415283
resnet50,cifar10,blur,5,0.5875999927520752
resnet50,cifar10,salt_pepper,1,0.8623999953269958
resnet50,cifar10,salt_pepper,2,0.8518000245094299
resnet50,cifar10,salt_pepper,3,0.8348000049591064
resnet50,cifar10,salt_pepper,4,0.7785999774932861
resnet50,cifar10,salt_pepper,5,0.7468000054359436
resnet50,mnist,resolution,1,0.9905999898910522
resnet50,mnist,resolution,2,0.9864000082015991
resnet50,mnist,resolution,3,0.9412000179290771
resnet50,mnist,resolution,4,0.8123999834060669
resnet50,mnist,resolution,5,0.4553999900817871
resnet50,mnist,blur,1,0.9923999905586243
resnet50,mnist,blur,2,0.9926000237464905
resnet50,mnist,blur,3,0.9932000041007996
resnet50,mnist,blur,4,0.9932000041007996
resnet50,mnist,blur,5,0.9886000156402588
resnet50,mnist,salt_pepper,1,0.9914000034332275
resnet50,mnist,salt_pepper,2,0.991599977016449
resnet50,mnist,salt_pepper,3,0.9918000102043152
resnet50,mnist,salt_pepper,4,0.9900000095367432
resnet50,mnist,salt_pepper,5,0.9900000095367432
densenet121,cifar10,resolution,1,0.7681999802589417
densenet121,cifar10,resolution,2,0.6403999924659729
densenet121,cifar10,resolution,3,0.5134000182151794
densenet121,cifar10,resolution,4,0.44440001249313354
densenet121,cifar10,resolution,5,0.30799999833106995
densenet121,cifar10,blur,1,0.8823999762535095
densenet121,cifar10,blur,2,0.8565999865531921
densenet121,cifar10,blur,3,0.8166000247001648
densenet121,cifar10,blur,4,0.7490000128746033
densenet121,cifar10,blur,5,0.6460000276565552
densenet121,cifar10,salt_pepper,1,0.8637999892234802
densenet121,cifar10,salt_pepper,2,0.8325999975204468
densenet121,cifar10,salt_pepper,3,0.805400013923645
densenet121,cifar10,salt_pepper,4,0.7929999828338623
densenet121,cifar10,salt_pepper,5,0.7778000235557556
densenet121,mnist,resolution,1,0.9937999844551086
densenet121,mnist,resolution,2,0.9864000082015991
densenet121,mnist,resolution,3,0.9430000185966492
densenet121,mnist,resolution,4,0.8227999806404114
densenet121,mnist,resolution,5,0.45019999146461487
densenet121,mnist,blur,1,0.9941999912261963
densenet121,mnist,blur,2,0.993399977684021
densenet121,mnist,blur,3,0.9922000169754028
densenet121,mnist,blur,4,0.9937999844551086
densenet121,mnist,blur,5,0.991599977016449
densenet121,mnist,salt_pepper,1,0.991599977016449
densenet121,mnist,salt_pepper,2,0.9919999837875366
densenet121,mnist,salt_pepper,3,0.9919999837875366
densenet121,mnist,salt_pepper,4,0.9908000230789185
densenet121,mnist,salt_pepper,5,0.9905999898910522
transnext_tiny,cifar10,resolution,1,0.8934000134468079
transnext_tiny,cifar10,resolution,2,0.7608000040054321
transnext_tiny,cifar10,resolution,3,0.5824000239372253
transnext_tiny,cifar10,resolution,4,0.4657999873161316
transnext_tiny,cifar10,resolution,5,0.305400013923645
transnext_tiny,cifar10,blur,1,0.9652000069618225
transnext_tiny,cifar10,blur,2,0.9595999717712402
transnext_tiny,cifar10,blur,3,0.9300000071525574
transnext_tiny,cifar10,blur,4,0.8802000284194946
transnext_tiny,cifar10,blur,5,0.7103999853134155
transnext_tiny,cifar10,salt_pepper,1,0.9520000219345093
transnext_tiny,cifar10,salt_pepper,2,0.9477999806404114
transnext_tiny,cifar10,salt_pepper,3,0.9351999759674072
transnext_tiny,cifar10,salt_pepper,4,0.9156000018119812
transnext_tiny,cifar10,salt_pepper,5,0.895799994468689
transnext_tiny,mnist,resolution,1,0.9932000041007996
transnext_tiny,mnist,resolution,2,0.9876000285148621
transnext_tiny,mnist,resolution,3,0.9394000172615051
transnext_tiny,mnist,resolution,4,0.8173999786376953
transnext_tiny,mnist,resolution,5,0.4560000002384186
transnext_tiny,mnist,blur,1,0.9937999844551086
transnext_tiny,mnist,blur,2,0.9937999844551086
transnext_tiny,mnist,blur,3,0.9945999979972839
transnext_tiny,mnist,blur,4,0.9947999715805054
transnext_tiny,mnist,blur,5,0.9905999898910522
transnext_tiny,mnist,salt_pepper,1,0.9927999973297119
transnext_tiny,mnist,salt_pepper,2,0.9914000034332275
transnext_tiny,mnist,salt_pepper,3,0.9919999837875366
transnext_tiny,mnist,salt_pepper,4,0.9908000230789185
transnext_tiny,mnist,salt_pepper,5,0.9908000230789185
