arm,model,dataset,level,val_acc
B2,resnet50,cifar10,1,0.7495999932289124
B2,resnet50,cifar10,2,0.5532000064849854
B2,resnet50,cifar10,3,0.4147999882698059
B2,resnet50,cifar10,4,0.32659998536109924
B2,resnet50,cifar10,5,0.24860000610351562
B2nr,resnet50,cifar10,3,0.3977999985218048
B2,resnet50,mnist,1,0.9890000224113464
B2,resnet50,mnist,2,0.9714000225067139
B2,resnet50,mnist,3,0.8547999858856201
B2,resnet50,mnist,4,0.6299999952316284
B2,resnet50,mnist,5,0.3483999967575073
B2nr,resnet50,mnist,3,0.8575999736785889
B2,densenet121,cifar10,1,0.739799976348877
B2,densenet121,cifar10,2,0.5667999982833862
B2,densenet121,cifar10,3,0.43720000982284546
B2,densenet121,cifar10,4,0.34700000286102295
B2,densenet121,cifar10,5,0.24879999458789825
B2nr,densenet121,cifar10,3,0.4106000065803528
B2,densenet121,mnist,1,0.9886000156402588
B2,densenet121,mnist,2,0.9761999845504761
B2,densenet121,mnist,3,0.8619999885559082
B2,densenet121,mnist,4,0.6629999876022339
B2,densenet121,mnist,5,0.3522000014781952
B2nr,densenet121,mnist,3,0.8514000177383423
B2,transnext_tiny,cifar10,1,0.8651999831199646
B2,transnext_tiny,cifar10,2,0.6819999814033508
B2,transnext_tiny,cifar10,3,0.4641999900341034
B2,transnext_tiny,cifar10,4,0.3646000027656555
B2,transnext_tiny,cifar10,5,0.26499998569488525
B2nr,transnext_tiny,cifar10,3,0.43880000710487366
B2,transnext_tiny,mnist,1,0.9918000102043152
B2,transnext_tiny,mnist,2,0.9761999845504761
B2,transnext_tiny,mnist,3,0.8537999987602234
B2,transnext_tiny,mnist,4,0.652400016784668
B2,transnext_tiny,mnist,5,0.34940001368522644
B2nr,transnext_tiny,mnist,3,0.8474000096321106
