model,dataset,treatment,level,val_acc
resnet50,cifar10,T1,1,0.7644000053405762
resnet50,cifar10,T1,2,0.52920001745224
resnet50,cifar10,T1,3,0.35179999470710754
resnet50,cifar10,T1,4,0.2709999978542328
resnet50,cifar10,T1,5,0.18639999628067017
resnet50,cifar10,T2,1,0.7811999917030334
resnet50,cifar10,T2,2,0.5275999903678894
resnet50,cifar10,T2,3,0.375
resnet50,cifar10,T2,4,0.28220000863075256
resnet50,cifar10,T2,5,0.1834000051021576
resnet50,cifar10,T3,1,0.7911999821662903
resnet50,cifar10,T3,2,0.5437999963760376
resnet50,cifar10,T3,3,0.367000013589859
resnet50,cifar10,T3,4,0.27880001068115234
resnet50,cifar10,T3,5,0.1923999935388565
resnet50,mnist,T1,1,0.9850000143051147
resnet50,mnist,T1,2,0.9616000056266785
resnet50,mnist,T1,3,0.796999990940094
resnet50,mnist,T1,4,0.5562000274658203
resnet50,mnist,T1,5,0.28139999508857727
resnet50,mnist,T2,1,0.9911999702453613
resnet50,mnist,T2,2,0.9624000191688538
resnet50,mnist,T2,3,0.7857999801635742
resnet50,mnist,T2,4,0.5699999928474426
resnet50,mnist,T2,5,0.2734000086784363
resnet50,mnist,T3,1,0.989799976348877
resnet50,mnist,T3,2,0.9696000218391418
resnet50,mnist,T3,3,0.7979999780654907
resnet50,mnist,T3,4,0.5600000023841858
resnet50,mnist,T3,5,0.2786000072956085
densenet121,cifar10,T1,1,0.7674000263214111
densenet121,cifar10,T1,2,0.5432000160217285
densenet121,cifar10,T1,3,0.39320001006126404
densenet121,cifar10,T1,4,0.2964000105857849
densenet121,cifar10,T1,5,0.2011999934911728
densenet121,cifar10,T2,1,0.7663999795913696
densenet121,cifar10,T2,2,0.5576000213623047
densenet121,cifar10,T2,3,0.39160001277923584
densenet121,cifar10,T2,4,0.29820001125335693
densenet121,cifar10,T2,5,0.1972000002861023
densenet121,cifar10,T3,1,0.7703999876976013
densenet121,cifar10,T3,2,0.5479999780654907
densenet121,cifar10,T3,3,0.39239999651908875
densenet121,cifar10,T3,4,0.2996000051498413
densenet121,cifar10,T3,5,0.19900000095367432
densenet121,mnist,T1,1,0.9890000224113464
densenet121,mnist,T1,2,0.9682000279426575
densenet121,mnist,T1,3,0.8073999881744385
densenet121,mnist,T1,4,0.5756000280380249
densenet121,mnist,T1,5,0.27959999442100525
densenet121,mnist,T2,1,0.9905999898910522
densenet121,mnist,T2,2,0.9617999792098999
densenet121,mnist,T2,3,0.7983999848365784
densenet121,mnist,T2,4,0.5777999758720398
densenet121,mnist,T2,5,0.2802000045776367
densenet121,mnist,T3,1,0.9929999709129333
densenet121,mnist,T3,2,0.9702000021934509
densenet121,mnist,T3,3,0.8172000050544739
densenet121,mnist,T3,4,0.5758000016212463
densenet121,mnist,T3,5,0.272599995136261
transnext_tiny,cifar10,T1,1,0.8845999836921692
transnext_tiny,cifar10,T1,2,0.6696000099182129
transnext_tiny,cifar10,T1,3,0.4235999882221222
transnext_tiny,cifar10,T1,4,0.28439998626708984
transnext_tiny,cifar10,T1,5,0.19660000503063202
transnext_tiny,cifar10,T2,1,0.8942000269889832
transnext_tiny,cifar10,T2,2,0.6525999903678894
transnext_tiny,cifar10,T2,3,0.42340001463890076
transnext_tiny,cifar10,T2,4,0.298799991607666
transnext_tiny,cifar10,T2,5,0.20020000636577606
transnext_tiny,cifar10,T3,1,0.9028000235557556
transnext_tiny,cifar10,T3,2,0.6800000071525574
transnext_tiny,cifar10,T3,3,0.4198000133037567
transnext_tiny,cifar10,T3,4,0.2971999943256378
transnext_tiny,cifar10,T3,5,0.20419999957084656
transnext_tiny,mnist,T1,1,0.9891999959945679
transnext_tiny,mnist,T1,2,0.9603999853134155
transnext_tiny,mnist,T1,3,0.8022000193595886
transnext_tiny,mnist,T1,4,0.5893999934196472
transnext_tiny,mnist,T1,5,0.27619999647140503
transnext_tiny,mnist,T2,1,0.9918000102043152
transnext_tiny,mnist,T2,2,0.9702000021934509
transnext_tiny,mnist,T2,3,0.8041999936103821
transnext_tiny,mnist,T2,4,0.5595999956130981
transnext_tiny,mnist,T2,5,0.2752000093460083
transnext_tiny,mnist,T3,1,0.9937999844551086
transnext_tiny,mnist,T3,2,0.9710000157356262
transnext_tiny,mnist,T3,3,0.8136000037193298
transnext_tiny,mnist,T3,4,0.5924000144004822
transnext_tiny,mnist,T3,5,0.2793999910354614
