model,dataset,axis,level,val_acc
resnet50,cifar10,resolution,1,0.8799999952316284
resnet50,cifar10,resolution,2,0.7897999882698059
resnet50,cifar10,resolution,3,0.6845999956130981
resnet50,cifar10,resolution,4,0.6050000190734863
resnet50,cifar10,resolution,5,0.43160000443458557
resnet50,cifar10,blur,1,0.9354000091552734
resnet50,cifar10,blur,2,0.8988000154495239
resnet50,cifar10,blur,3,0.8677999973297119
resnet50,cifar10,blur,4,0.8145999908447266
resnet50,cifar10,blur,5,0.7098000049591064
resnet50,cifar10,noise,1,0.8913999795913696
resnet50,cifar10,noise,2,0.847000002861023
resnet50,cifar10,noise,3,0.7806000113487244
resnet50,cifar10,noise,4,0.7275999784469604
resnet50,cifar10,noise,5,0.6687999963760376
resnet50,cifar10,salt_pepper,1,0.90420001745224
resnet50,cifar10,salt_pepper,2,0.8992000222206116
resnet50,cifar10,salt_pepper,3,0.8651999831199646
resnet50,cifar10,salt_pepper,4,0.8464000225067139
resnet50,cifar10,salt_pepper,5,0.8330000042915344
resnet50,cifar10,saturation,1,0.9205999970436096
resnet50,cifar10,saturation,2,0.9282000064849854
resnet50,cifar10,saturation,3,0.925599992275238
resnet50,cifar10,saturation,4,0.9178000092506409
resnet50,cifar10,saturation,5,0.8822000026702881
resnet50,mnist,resolution,1,0.9883999824523926
resnet50,mnist,resolution,2,0.9850000143051147
resnet50,mnist,resolution,3,0.9348000288009644
resnet50,mnist,resolution,4,0.8122000098228455
resnet50,mnist,resolution,5,0.4426000118255615
resnet50,mnist,blur,1,0.9932000041007996
resnet50,mnist,blur,2,0.9914000034332275
resnet50,mnist,blur,3,0.9918000102043152
resnet50,mnist,blur,4,0.9919999837875366
resnet50,mnist,blur,5,0.9882000088691711
resnet50,mnist,noise,1,0.9909999966621399
resnet50,mnist,noise,2,0.991599977016449
resnet50,mnist,noise,3,0.9909999966621399
resnet50,mnist,noise,4,0.9909999966621399
resnet50,mnist,noise,5,0.9896000027656555
resnet50,mnist,salt_pepper,1,0.9908000230789185
resnet50,mnist,salt_pepper,2,0.989799976348877
resnet50,mnist,salt_pepper,3,0.9887999892234802
resnet50,mnist,salt_pepper,4,0.9890000224113464
resnet50,mnist,salt_pepper,5,0.9861999750137329
resnet50,mnist,saturation,1,0.9894000291824341
resnet50,mnist,saturation,2,0.9918000102043152
resnet50,mnist,saturation,3,0.9936000108718872
resnet50,mnist,saturation,4,0.9918000102043152
resnet50,mnist,saturation,5,0.9909999966621399
densenet121,cifar10,resolution,1,0.8651999831199646
densenet121,cifar10,resolution,2,0.7960000038146973
densenet121,cifar10,resolution,3,0.676800012588501
densenet121,cifar10,resolution,4,0.5776000022888184
densenet121,cifar10,resolution,5,0.4431999921798706
densenet121,cifar10,blur,1,0.9053999781608582
densenet121,cifar10,blur,2,0.9039999842643738
densenet121,cifar10,blur,3,0.8644000291824341
densenet121,cifar10,blur,4,0.8203999996185303
densenet121,cifar10,blur,5,0.7142000198364258
densenet121,cifar10,noise,1,0.88919997215271
densenet121,cifar10,noise,2,0.8363999724388123
densenet121,cifar10,noise,3,0.7954000234603882
densenet121,cifar10,noise,4,0.7505999803543091
densenet121,cifar10,noise,5,0.6845999956130981
densenet121,cifar10,salt_pepper,1,0.9071999788284302
densenet121,cifar10,salt_pepper,2,0.8898000121116638
densenet121,cifar10,salt_pepper,3,0.8795999884605408
densenet121,cifar10,salt_pepper,4,0.8644000291824341
densenet121,cifar10,salt_pepper,5,0.8507999777793884
densenet121,cifar10,saturation,1,0.91839998960495
densenet121,cifar10,saturation,2,0.9142000079154968
densenet121,cifar10,saturation,3,0.9165999889373779
densenet121,cifar10,saturation,4,0.9129999876022339
densenet121,cifar10,saturation,5,0.883400022983551
densenet121,mnist,resolution,1,0.9922000169754028
densenet121,mnist,resolution,2,0.9861999750137329
densenet121,mnist,resolution,3,0.9359999895095825
densenet121,mnist,resolution,4,0.8131999969482422
densenet121,mnist,resolution,5,0.45399999618530273
densenet121,mnist,blur,1,0.9905999898910522
densenet121,mnist,blur,2,0.993399977684021
densenet121,mnist,blur,3,0.9896000027656555
densenet121,mnist,blur,4,0.9927999973297119
densenet121,mnist,blur,5,0.9846000075340271
densenet121,mnist,noise,1,0.993399977684021
densenet121,mnist,noise,2,0.9926000237464905
densenet121,mnist,noise,3,0.9923999905586243
densenet121,mnist,noise,4,0.993399977684021
densenet121,mnist,noise,5,0.9927999973297119
densenet121,mnist,salt_pepper,1,0.9918000102043152
densenet121,mnist,salt_pepper,2,0.9914000034332275
densenet121,mnist,salt_pepper,3,0.9905999898910522
densenet121,mnist,salt_pepper,4,0.9876000285148621
densenet121,mnist,salt_pepper,5,0.9872000217437744
densenet121,mnist,saturation,1,0.9932000041007996
densenet121,mnist,saturation,2,0.9923999905586243
densenet121,mnist,saturation,3,0.9926000237464905
densenet121,mnist,saturation,4,0.9927999973297119
densenet121,mnist,saturation,5,0.9914000034332275
transnext_tiny,cifar10,resolution,1,0.9513999819755554
transnext_tiny,cifar10,resolution,2,0.8862000107765198
transnext_tiny,cifar10,resolution,3,0.7964000105857849
transnext_tiny,cifar10,resolution,4,0.6840000152587891
transnext_tiny,cifar10,resolution,5,0.46239998936653137
transnext_tiny,cifar10,blur,1,0.9765999913215637
transnext_tiny,cifar10,blur,2,0.9724000096321106
transnext_tiny,cifar10,blur,3,0.9495999813079834
transnext_tiny,cifar10,blur,4,0.9088000059127808
transnext_tiny,cifar10,blur,5,0.824400007724762
transnext_tiny,cifar10,noise,1,0.9598000049591064
transnext_tiny,cifar10,noise,2,0.9333999752998352
transnext_tiny,cifar10,noise,3,0.8939999938011169
transnext_tiny,cifar10,noise,4,0.8597999811172485
transnext_tiny,cifar10,noise,5,0.8008000254631042
transnext_tiny,cifar10,salt_pepper,1,0.9728000164031982
transnext_tiny,cifar10,salt_pepper,2,0.9660000205039978
transnext_tiny,cifar10,salt_pepper,3,0.954800009727478
transnext_tiny,cifar10,salt_pepper,4,0.9473999738693237
transnext_tiny,cifar10,salt_pepper,5,0.9422000050544739
transnext_tiny,cifar10,saturation,1,0.979200005531311
transnext_tiny,cifar10,saturation,2,0.9778000116348267
transnext_tiny,cifar10,saturation,3,0.9753999710083008
transnext_tiny,cifar10,saturation,4,0.975600004196167
transnext_tiny,cifar10,saturation,5,0.9534000158309937
transnext_tiny,mnist,resolution,1,0.9914000034332275
transnext_tiny,mnist,resolution,2,0.9807999730110168
transnext_tiny,mnist,resolution,3,0.9247999787330627
transnext_tiny,mnist,resolution,4,0.8008000254631042
transnext_tiny,mnist,resolution,5,0.44859999418258667
transnext_tiny,mnist,blur,1,0.9923999905586243
transnext_tiny,mnist,blur,2,0.9896000027656555
transnext_tiny,mnist,blur,3,0.9914000034332275
transnext_tiny,mnist,blur,4,0.9927999973297119
transnext_tiny,mnist,blur,5,0.9905999898910522
transnext_tiny,mnist,noise,1,0.991599977016449
transnext_tiny,mnist,noise,2,0.9927999973297119
transnext_tiny,mnist,noise,3,0.9923999905586243
transnext_tiny,mnist,noise,4,0.991599977016449
transnext_tiny,mnist,noise,5,0.9914000034332275
transnext_tiny,mnist,salt_pepper,1,0.9900000095367432
transnext_tiny,mnist,salt_pepper,2,0.991599977016449
transnext_tiny,mnist,salt_pepper,3,0.9882000088691711
transnext_tiny,mnist,salt_pepper,4,0.9876000285148621
transnext_tiny,mnist,salt_pepper,5,0.9894000291824341
transnext_tiny,mnist,saturation,1,0.9936000108718872
transnext_tiny,mnist,saturation,2,0.9896000027656555
transnext_tiny,mnist,saturation,3,0.9918000102043152
transnext_tiny,mnist,saturation,4,0.9923999905586243
transnext_tiny,mnist,saturation,5,0.9904000163078308
