model,dataset,level,val_acc,val_acc_mean,val_acc_std
resnet50,cifar10,1,0.7645999789237976,,
resnet50,cifar10,2,0.5393999814987183,,
resnet50,cifar10,3,0.358599990606308,0.3631333311398824,0.008317583471234175
resnet50,cifar10,4,0.26840001344680786,,
resnet50,cifar10,5,0.19059999287128448,,
resnet50,mnist,1,0.9918000102043152,,
resnet50,mnist,2,0.9635999798774719,,
resnet50,mnist,3,0.7886000275611877,0.7916666865348816,0.007975524559301108
resnet50,mnist,4,0.5644000172615051,,
resnet50,mnist,5,0.2800000011920929,,
densenet121,cifar10,1,0.7847999930381775,,
densenet121,cifar10,2,0.5368000268936157,,
densenet121,cifar10,3,0.3959999978542328,0.38540000716845196,0.007812803906038465
densenet121,cifar10,4,0.28519999980926514,,
densenet121,cifar10,5,0.19580000638961792,,
densenet121,mnist,1,0.9873999953269958,,
densenet121,mnist,2,0.965399980545044,,
densenet121,mnist,3,0.819599986076355,0.8079333305358887,0.008425876815811922
densenet121,mnist,4,0.5807999968528748,,
densenet121,mnist,5,0.2775999903678894,,
transnext_tiny,cifar10,1,0.8758000135421753,,
transnext_tiny,cifar10,2,0.6421999931335449,,
transnext_tiny,cifar10,3,0.38999998569488525,0.39479999740918476,0.006231112041884804
transnext_tiny,cifar10,4,0.2849999964237213,,
transnext_tiny,cifar10,5,0.20100000500679016,,
transnext_tiny,mnist,1,0.9896000027656555,,
transnext_tiny,mnist,2,0.9599999785423279,,
transnext_tiny,mnist,3,0.7993999719619751,0.8004666566848755,0.0011115564086783974
transnext_tiny,mnist,4,0.5723999738693237,,
transnext_tiny,mnist,5,0.27480000257492065,,
