phase,model,dataset,level,axis_or_treatment,val_acc_mean,val_acc_std,n_seeds
B2,densenet121,cifar10,3,T3,0.4240666727224986,0.009295641129312244,3
B2,densenet121,mnist,3,T3,0.8622666597366333,0.001806168664905516,3
B2,resnet50,cifar10,3,T3,0.41093332568804425,0.0045146656894384084,3
B2,resnet50,mnist,3,T3,0.848800003528595,0.004898965080137711,3
B2,transnext_tiny,cifar10,3,T3,0.46433332562446594,0.0001885650002377399,3
B2,transnext_tiny,mnist,3,T3,0.8566666642824808,0.002456728754936912,3
B2nr,densenet121,cifar10,3,,0.40753333767255145,0.003151016632738436,3
B2nr,densenet121,mnist,3,,0.8570000131924947,0.0055713483429282755,3
B2nr,resnet50,cifar10,3,,0.4030666649341583,0.0040998612067723195,3
B2nr,resnet50,mnist,3,,0.8574000000953674,0.000432038299405364,3
B2nr,transnext_tiny,cifar10,3,,0.43573333819707233,0.0027145656804840493,3
B2nr,transnext_tiny,mnist,3,,0.8461333314577738,0.0028394164706691677,3
B,densenet121,cifar10,3,,0.38540000716845196,0.007812803906038465,3
B,densenet121,mnist,3,,0.8079333305358887,0.008425876815811922,3
B,resnet50,cifar10,3,,0.3631333311398824,0.008317583471234175,3
B,resnet50,mnist,3,,0.7916666865348816,0.007975524559301108,3
B,transnext_tiny,cifar10,3,,0.39479999740918476,0.006231112041884804,3
B,transnext_tiny,mnist,3,,0.8004666566848755,0.0011115564086783974,3
D,densenet121,cifar10,3,T3,0.3956000010172526,0.0022686290992707994,3
D,densenet121,mnist,3,T3,0.8148666620254517,0.0021561407571207567,3
D,resnet50,cifar10,3,T3,0.37273334463437396,0.004259366537565337,3
D,resnet50,mnist,3,T3,0.7985333204269409,0.0021561407571207567,3
D,transnext_tiny,cifar10,3,T3,0.4333333373069763,0.009611559683776128,3
D,transnext_tiny,mnist,3,T3,0.8119999965031942,0.005027932857618719,3
